Nr./Portfolio Drawdowns (%),Start date,End date,Maximum (%),Days
-,26-Jan-23,9-Jun-23,-11.48,134
-,31-Jul-23,28-Nov-23,-11.64,120
-,31-Jul-23,28-Nov-23,0,120
