Symbol,Name,Current Price,P&L(%),E&R ADR 60 Proportion(%),MCAP Weighted 153 ADRs Proportion(%)
SMFG,Sumitomo Mitsui Financial Group ADR,9.99,23.64,1.71,1.01
SNY,Sanofi,0,0,0,0.56
SONY,Sony Group Corp ADR,86.95,12.51,1.56,0.64
SQM,Sociedad Quimica Y Minera S.A. ADR,49.72,-21.25,1.23,0.25
SSL,Sasol Limited,0,0,0,0.27
STM,STMicroelectronics N.V.,0,0,0,0.39
TAK,Takeda Pharmaceutical Ltd ADR,0,0,0,0.6
TCOM,Trip.com Group Ltd ADR,35.52,-7.16,1.45,0.63
TEF,"Telefonica, S.A.",0,0,0,0.93
TEVA,Teva Pharmaceutical Industries Limited,0,0,0,0.27
TIMB,Tim S.A. ADR,17.2,22.42,1.82,0.69
TKC,Turkcell Iletisim Hizmetleri As ADR,0,0,0,0.16
TM,Toyota Motor Corporation,0,0,0,3.31
TME,Tencent Music Entertainment ADR,8.4,11.7,1.69,0.73
TS,Tenaris S.A. ADR,33.73,25.39,1.87,0.27
TSM,Taiwan Semiconductor ADR,97.21,29.46,1.8,3.88
TTE,Totalenergies Se ADR,68.7,9.24,1.51,0.65
TV,Grupo Televisa S.A. ADR,2.56,-45.06,0.76,0.2
TX,Ternium S.A.,0,0,0,0.11
UBS,UBS Group Ag ADR,26.18,-0.83,1.55,1.16
UGP,Ultrapar Participacoes S.A. ADR,4.97,116.09,3,0.28
UL,Unilever PLC,0,0,0,2.57
UMC,United Microelectronics Corp ADR,0,0,0,0.11
VALE,Vale S.A. ADR,14.89,8.21,1.64,1
VIPS,Vipshop Holdings Ltd ADR,16.16,3.26,1.61,0.09
VIV,Telefonica Brasil S.A.,0,0,0,0.52
VOD,Vodafone Grp Plc ADR,9.05,-12.31,1.22,1.25
VRNA,Verona Pharma plc,0,0,0,0
WB,Weibo Corp ADR,0,0,0,0.31
WDS,Woodside Energy Group Ltd,0,0,0,0.58
WF,Woori Finance Holdings Ltd ADR,29.59,8.63,1.51,0.67
WIT,Wipro Ltd ADR,4.69,-0.21,1.38,0.43
WPP,WPP plc,0,0,0,0.01
XPEV,XPeng Inc.,0,0,0,0.71
YMM,Full Truck Alliance Co. Ltd.,0,0,0,0.66
YPF,Ypf Sociedad Anonima ADR,0,0,0,0.25
ZLAB,Zai Lab Limited,0,0,0,0.02
ZTO,ZTO Express (Cayman) Inc.,0,0,0,0.18
