Nr./Portfolio Drawdowns (%),Start date,End date,Maximum (%),Days
-,10-Dec-07,22-Apr-10,-46.13,864
-,23-Apr-10,13-Oct-10,-15.63,173
-,7-Jul-11,1-Mar-12,-21.3,238
-,20-Jul-15,1-Dec-15,-12.47,134
-,4-Dec-15,18-Apr-16,-14.27,136
-,26-Jan-18,27-Aug-18,-10.47,213
-,1-Oct-18,24-Jul-19,-21.69,296
-,19-Feb-20,22-Jul-20,-29.84,154
-,4-Jan-22,28-Feb-23,-26.63,420
