Date,Group,Portfolio Return
2022-01-31,India Under-served,100.0
2022-02-28,India Under-served,96.98581419036215
2022-03-31,India Under-served,108.01781808803584
2022-04-30,India Under-served,113.64739970533988
2022-05-31,India Under-served,105.32214921565274
2022-06-30,India Under-served,104.66615245992993
2022-07-31,India Under-served,112.58426054332521
2022-08-31,India Under-served,119.86999163978018
2022-09-30,India Under-served,113.41822485298671
2022-10-31,India Under-served,115.31336340858451
2022-11-30,India Under-served,122.76895169566218
2022-12-31,India Under-served,117.98553543911187
2023-01-31,India Under-served,113.48533579549314
2023-02-28,India Under-served,112.00144323771103
2023-03-31,India Under-served,111.35337590978843
2023-04-30,India Under-served,118.25935953906998
2023-05-31,India Under-served,116.81041287712809
2023-06-30,India Under-served,127.04077250662718
2023-07-31,India Under-served,135.22249294721203
2023-08-31,India Under-served,141.33337607343125
2023-09-30,India Under-served,146.61314651829963
2023-10-31,India Under-served,143.40002313303944
2023-11-30,India Under-served,150.36431496804238
2023-12-31,India Under-served,150.62413973399836
2024-01-31,India Under-served,156.1834971091348
2024-02-29,India Under-served,150.91758913529443
2022-01-31,Nifty 50,100.0
2022-02-28,Nifty 50,96.85147217828205
2022-03-31,Nifty 50,100.72030612801024
2022-04-30,Nifty 50,101.42812139073118
2022-05-31,Nifty 50,98.3560785130424
2022-06-30,Nifty 50,93.58610924284805
2022-07-31,Nifty 50,101.7584549763233
2022-08-31,Nifty 50,105.32303290684564
2022-09-30,Nifty 50,101.37949061054186
2022-10-31,Nifty 50,106.8228777741283
2022-11-30,Nifty 50,111.24798355154006
2022-12-31,Nifty 50,107.95443335102502
2023-01-31,Nifty 50,104.74687660833261
2023-02-28,Nifty 50,102.62254115867765
2023-03-31,Nifty 50,102.95346780593064
2023-04-30,Nifty 50,107.13601264055559
2023-05-31,Nifty 50,109.91982910357261
2023-06-30,Nifty 50,116.75931895227693
2023-07-31,Nifty 50,120.19564462485327
2023-08-31,Nifty 50,117.15330226824143
2023-09-30,Nifty 50,119.49590590284278
2023-10-31,Nifty 50,116.0933502100489
2023-11-30,Nifty 50,122.28147453703905
2023-12-31,Nifty 50,132.22871709650178
2024-01-31,Nifty 50,132.19403440896835
2024-02-29,Nifty 50,139.24037357336974
2022-01-31,S&P BSE 500,100.0
2022-02-28,S&P BSE 500,95.89442085802668
2022-03-31,S&P BSE 500,99.9144855624393
2022-04-30,S&P BSE 500,99.30998103786058
2022-05-31,S&P BSE 500,94.8655487911559
2022-06-30,S&P BSE 500,89.9189510211871
2022-07-31,S&P BSE 500,98.50033460593707
2022-08-31,S&P BSE 500,102.97799438150966
2022-09-30,S&P BSE 500,99.69289857461571
2022-10-31,S&P BSE 500,103.68648244087896
2022-11-30,S&P BSE 500,107.1324027766241
2022-12-31,S&P BSE 500,103.75491930464563
2023-01-31,S&P BSE 500,100.26636823924763
2023-02-28,S&P BSE 500,97.34137764940144
2023-03-31,S&P BSE 500,97.6585570113914
2023-04-30,S&P BSE 500,102.08338164747053
2023-05-31,S&P BSE 500,105.66883222081539
2023-06-30,S&P BSE 500,109.96555386861606
2023-07-31,S&P BSE 500,114.14159389110716
2023-08-31,S&P BSE 500,113.21286815662984
2023-09-30,S&P BSE 500,115.56995508023194
2023-10-31,S&P BSE 500,112.18580924361991
2023-11-30,S&P BSE 500,119.93287877572823
2023-12-31,S&P BSE 500,129.53786355436608
2024-01-31,S&P BSE 500,131.99648836558265
2024-02-29,S&P BSE 500,133.99380737647704
2022-01-31,S&P BSE Midcap,100.0
2022-02-28,S&P BSE Midcap,94.89131969017386
2022-03-31,S&P BSE Midcap,97.94807707163697
2022-04-30,S&P BSE Midcap,99.2078579748293
2022-05-31,S&P BSE Midcap,94.03083980475546
2022-06-30,S&P BSE Midcap,88.2185478508428
2022-07-31,S&P BSE Midcap,97.71620782995035
2022-08-31,S&P BSE Midcap,103.15593257256643
2022-09-30,S&P BSE Midcap,100.97887255712551
2022-10-31,S&P BSE Midcap,103.030958036016
2022-11-30,S&P BSE Midcap,105.43566188508436
2022-12-31,S&P BSE Midcap,102.850078066819
2023-01-31,S&P BSE Midcap,100.1207491577059
2023-02-28,S&P BSE Midcap,98.1511810342584
2023-03-31,S&P BSE Midcap,97.77589171513493
2023-04-30,S&P BSE Midcap,103.57298843755837
2023-05-31,S&P BSE Midcap,110.10457480177048
2023-06-30,S&P BSE Midcap,116.914591113155
2023-07-31,S&P BSE Midcap,123.59215717053273
2023-08-31,S&P BSE Midcap,126.76466633271043
2023-09-30,S&P BSE Midcap,131.39681008051943
2023-10-31,S&P BSE Midcap,126.9454650266437
2023-11-30,S&P BSE Midcap,139.18013279126538
2023-12-31,S&P BSE Midcap,149.67377011867998
2024-01-31,S&P BSE Midcap,157.53660364283365
2024-02-29,S&P BSE Midcap,159.86252800979452
2022-01-31,S&P BSE Smallcap,100.0
2022-02-28,S&P BSE Smallcap,91.22584016765052
2022-03-31,S&P BSE Smallcap,96.54056405972025
2022-04-30,S&P BSE Smallcap,97.89641193404293
2022-05-31,S&P BSE Smallcap,90.22839707769013
2022-06-30,S&P BSE Smallcap,84.80736639787712
2022-07-31,S&P BSE Smallcap,92.57409227706927
2022-08-31,S&P BSE Smallcap,98.02971457891849
2022-09-30,S&P BSE Smallcap,97.35235518050304
2022-10-31,S&P BSE Smallcap,98.60011708377033
2022-11-30,S&P BSE Smallcap,101.00209637322901
2022-12-31,S&P BSE Smallcap,98.97374764876383
2023-01-31,S&P BSE Smallcap,96.50716998683058
2023-02-28,S&P BSE Smallcap,93.54840586400407
2023-03-31,S&P BSE Smallcap,92.23409530079314
2023-04-30,S&P BSE Smallcap,98.94049042920773
2023-05-31,S&P BSE Smallcap,105.20530348854231
2023-06-30,S&P BSE Smallcap,111.54905116931057
2023-07-31,S&P BSE Smallcap,119.7613280741996
2023-08-31,S&P BSE Smallcap,127.08801155179619
2023-09-30,S&P BSE Smallcap,128.52012524259237
2023-10-31,S&P BSE Smallcap,126.31963958793145
2023-11-30,S&P BSE Smallcap,138.1324903587074
2023-12-31,S&P BSE Smallcap,146.00935512892616
2024-01-31,S&P BSE Smallcap,156.44097030738632
2024-02-29,S&P BSE Smallcap,154.7388298435403
