Annualized Excess Return %,Annualized Excess Volatility %,Tracking Error,Information Ratio,Alpha,Beta,Max Excess Drawdown,Group,Holding Yrs
0.495000000000001,-0.92,4.03,0.12,0.15,0.89,1.3198,Nifty 50,3
0.957000000000001,-0.91,4.0,0.24,0.17,0.89,1.3198,Nifty 50,3
1.447,-0.890000000000001,3.98,0.36,0.17,0.89,1.3198,Nifty 50,3
1.508,-0.859999999999999,3.97,0.38,0.17,0.9,1.3198,Nifty 50,3
1.87,-0.92,3.93,0.48,0.21,0.89,1.3198,Nifty 50,3
2.243,-0.949999999999999,3.84,0.58,0.24,0.9,1.3198,Nifty 50,3
1.98,-0.83,3.8,0.52,0.24,0.9,1.3198,Nifty 50,3
1.733,-0.790000000000001,3.77,0.46,0.22,0.9,1.3198,Nifty 50,3
1.488,-0.57,3.84,0.39,0.18,0.91,1.3198,Nifty 50,3
1.749,-0.49,3.8,0.46,0.18,0.92,1.3198,Nifty 50,3
2.083,-0.629999999999999,3.81,0.55,0.16,0.95,0.6189,Nifty 50,3
2.618,-0.549999999999997,3.71,0.71,0.21,0.96,0.6189,Nifty 50,3
1.877,-0.579999999999998,3.62,0.52,0.15,0.96,0.6189,Nifty 50,3
2.009,-0.690000000000001,3.6,0.56,0.16,0.96,0.6189,Nifty 50,3
2.126,-0.640000000000001,3.61,0.59,0.17,0.96,0.6189,Nifty 50,3
2.051,-0.709999999999997,3.64,0.56,0.17,0.95,0.6189,Nifty 50,3
1.788,-0.699999999999999,3.7,0.48,0.15,0.95,0.6189,Nifty 50,3
2.395,-0.579999999999998,3.69,0.65,0.2,0.96,0.6189,Nifty 50,3
2.836,-0.629999999999999,3.61,0.79,0.24,0.96,0.6189,Nifty 50,3
3.058,-0.620000000000001,3.59,0.85,0.25,0.96,0.6189,Nifty 50,3
1.917,-0.669999999999998,3.38,0.57,0.16,0.96,0.6189,Nifty 50,3
1.749,-0.84,3.45,0.51,0.16,0.95,0.6189,Nifty 50,3
1.71,-0.849999999999998,3.46,0.49,0.17,0.95,0.6189,Nifty 50,3
1.48,-0.809999999999999,3.49,0.42,0.14,0.95,0.6189,Nifty 50,3
0.664999999999999,-0.790000000000003,3.34,0.2,0.09,0.96,0.6189,Nifty 50,3
-0.257,-0.739999999999998,3.3,-0.08,0.02,0.96,0.6189,Nifty 50,3
-0.860999999999999,-0.780000000000001,3.33,-0.26,-0.03,0.96,0.6189,Nifty 50,3
0.110000000000001,-0.550000000000001,3.56,0.03,0.04,0.96,0.6189,Nifty 50,3
-1.085,-0.229999999999997,3.26,-0.33,-0.05,0.98,-0.168600000000001,Nifty 50,3
-0.623000000000001,-0.330000000000002,3.21,-0.19,-0.01,0.97,-0.168600000000001,Nifty 50,3
-2.145,-0.18,3.63,-0.59,-0.13,0.98,-0.168600000000001,Nifty 50,3
-1.304,-0.210000000000001,3.69,-0.35,-0.06,0.98,-0.168600000000001,Nifty 50,3
-2.906,-0.009999999999998,3.3,-0.88,-0.19,0.99,-0.168600000000001,Nifty 50,3
-2.037,-0.129999999999999,3.31,-0.62,-0.13,0.98,-0.168600000000001,Nifty 50,3
-2.051,-0.140000000000001,3.31,-0.62,-0.13,0.98,-0.168600000000001,Nifty 50,3
-1.868,-0.16,3.37,-0.55,-0.12,0.98,-0.168600000000001,Nifty 50,3
-1.392,-0.280000000000001,3.49,-0.4,-0.08,0.97,-0.168600000000001,Nifty 50,3
-1.357,-0.299999999999997,3.49,-0.39,-0.08,0.97,-0.168600000000001,Nifty 50,3
-1.979,-0.300000000000001,3.48,-0.57,-0.11,0.97,-0.168600000000001,Nifty 50,3
-2.317,-0.340000000000003,3.52,-0.66,-0.13,0.97,-0.168600000000001,Nifty 50,3
-2.498,-0.310000000000002,3.52,-0.71,-0.15,0.97,-0.168600000000001,Nifty 50,3
-1.86,-0.220000000000002,3.63,-0.51,-0.11,0.98,-0.168600000000001,Nifty 50,3
-1.693,-0.199999999999999,3.66,-0.46,-0.09,0.98,-0.168600000000001,Nifty 50,3
-1.7,-0.209999999999997,3.66,-0.46,-0.1,0.98,-0.168600000000001,Nifty 50,3
-0.93,-0.289999999999999,3.57,-0.26,-0.04,0.98,0.9588,Nifty 50,3
-0.663,-0.329999999999998,3.61,-0.18,-0.02,0.97,0.881899999999998,Nifty 50,3
-1.219,0.0499999999999972,3.57,-0.34,-0.04,0.98,0.7872,Nifty 50,3
-1.387,0.0,3.58,-0.39,-0.04,0.97,0.7872,Nifty 50,3
-1.6,-0.0600000000000005,3.6,-0.44,-0.04,0.97,0.7872,Nifty 50,3
-0.728999999999999,0.110000000000001,3.84,-0.19,0.0,0.97,0.7872,Nifty 50,3
-0.689999999999998,0.110000000000001,3.83,-0.18,0.0,0.97,0.7872,Nifty 50,3
-1.0,0.19,3.92,-0.26,-0.03,0.98,0.7872,Nifty 50,3
-1.445,0.16,3.86,-0.37,-0.06,0.98,0.7872,Nifty 50,3
-1.296,0.17,3.86,-0.34,-0.06,0.97,0.7872,Nifty 50,3
-1.851,-0.0400000000000009,3.96,-0.47,-0.08,0.95,0.7872,Nifty 50,3
-1.581,-0.0500000000000007,3.95,-0.4,-0.04,0.95,0.7872,Nifty 50,3
-1.854,0.139999999999999,4.04,-0.46,-0.08,0.96,0.7872,Nifty 50,3
-0.390999999999998,0.34,4.65,-0.08,0.03,0.96,0.7872,Nifty 50,3
