Annualized Excess Return %,Annualized Excess Volatility %,Tracking Error,Information Ratio,Alpha,Beta,Max Excess Dd,Statistical Factors,Rank,Rank_nr
0.62,0.7966666666666667,3.356666666666667,0.32666666666666666,0.03,1.0233333333333334,-1.46,C,1Q,1
0.5533333333333333,0.6633333333333334,3.4133333333333336,0.3,0.036666666666666674,1.0133333333333334,-1.42,C,2Q,2
0.34,0.6366666666666667,3.393333333333333,0.22999999999999998,0.03,1.01,-1.45,C,3Q,3
0.08,0.6366666666666667,3.616666666666667,0.08333333333333333,0.01,1.0033333333333332,-1.5466666666666669,C,4Q,4
-0.52,0.59,3.603333333333333,-0.08,-0.03,1.0,-1.6733333333333331,C,5Q,5
-0.4633333333333334,0.68,3.8000000000000003,-0.11333333333333334,-0.02333333333333333,1.0066666666666666,-1.9233333333333331,C,6Q,6
-0.8333333333333334,0.9733333333333333,4.12,-0.18333333333333332,-0.06666666666666667,1.02,-2.6166666666666667,C,8Q,8
-0.7399999999999999,0.75,4.16,-0.17,-0.06,1.0033333333333332,-2.2966666666666664,C,12Q,12
-1.2633333333333334,0.93,4.8566666666666665,-0.26666666666666666,-0.06666666666666667,1.01,-3.0066666666666664,C,20Q,20
6.953333333333333,3.0833333333333335,6.966666666666666,0.9933333333333333,0.4166666666666667,1.1266666666666667,-2.97,G,1Q,1
7.096666666666667,3.0033333333333334,6.906666666666666,1.0266666666666666,0.4466666666666667,1.1233333333333333,-3.133333333333333,G,2Q,2
7.25,3.043333333333333,7.07,1.0466666666666666,0.4566666666666667,1.1233333333333333,-3.266666666666667,G,3Q,3
7.77,3.216666666666667,7.233333333333333,1.11,0.49333333333333335,1.1233333333333333,-3.2433333333333336,G,4Q,4
9.416666666666666,3.4466666666666668,7.406666666666666,1.3166666666666667,0.6033333333333334,1.1366666666666667,-3.2466666666666666,G,5Q,5
9.183333333333334,3.5833333333333335,7.423333333333333,1.28,0.5866666666666666,1.1466666666666667,-3.23,G,6Q,6
10.586666666666666,3.686666666666666,7.733333333333334,1.4000000000000001,0.6866666666666666,1.1366666666666667,-2.8233333333333337,G,8Q,8
13.163333333333334,2.61,6.696666666666666,1.9633333333333332,0.8466666666666667,1.08,-1.4233333333333331,G,12Q,12
11.136666666666665,1.3433333333333335,6.023333333333333,1.89,0.7666666666666666,1.0266666666666666,-0.49,G,20Q,20
3.7899999999999996,4.72,8.686666666666667,0.2866666666666667,0.06333333333333334,1.17,-4.09,V,1Q,1
3.3633333333333333,5.416666666666667,9.626666666666667,0.17333333333333334,0.010000000000000002,1.1833333333333333,-4.366666666666666,V,2Q,2
2.6366666666666667,5.69,10.306666666666667,0.06999999999999999,-0.04,1.1766666666666665,-4.76,V,3Q,3
2.08,5.866666666666667,10.513333333333334,-0.013333333333333336,-0.11333333333333334,1.1733333333333331,-5.13,V,4Q,4
1.45,6.02,10.936666666666667,-0.12,-0.15333333333333332,1.1666666666666667,-5.55,V,5Q,5
1.1266666666666667,5.96,11.146666666666667,-0.16666666666666666,-0.15,1.1533333333333333,-5.773333333333333,V,6Q,6
0.20000000000000004,6.330000000000001,11.716666666666667,-0.31,-0.2833333333333334,1.1766666666666667,-6.073333333333333,V,8Q,8
-5.333333333333333,8.466666666666667,12.49,-0.7733333333333333,-0.8466666666666667,1.3,-8.806666666666667,V,12Q,12
-1.2733333333333334,10.67,14.786666666666667,-0.2733333333333334,-0.5966666666666667,1.3933333333333333,-10.37,V,20Q,20
3.813333333333334,2.8766666666666665,5.63,0.61,0.16,1.11,-3.146666666666667,VCG,1Q,1
3.606666666666667,3.1300000000000003,5.836666666666666,0.5366666666666667,0.13666666666666666,1.1233333333333333,-3.346666666666667,VCG,2Q,2
4.026666666666666,3.4566666666666666,6.236666666666667,0.54,0.15,1.1333333333333335,-3.72,VCG,3Q,3
4.173333333333333,3.69,6.423333333333335,0.52,0.13999999999999999,1.15,-3.8466666666666662,VCG,4Q,4
3.9266666666666663,3.7900000000000005,6.359999999999999,0.47333333333333333,0.11,1.1566666666666665,-4.0,VCG,5Q,5
3.3833333333333333,3.7733333333333334,6.32,0.3866666666666667,0.08333333333333333,1.1533333333333333,-3.9299999999999997,VCG,6Q,6
3.65,3.973333333333334,6.713333333333334,0.37666666666666665,0.08,1.1533333333333333,-4.1466666666666665,VCG,8Q,8
4.053333333333334,5.003333333333333,8.663333333333332,0.45333333333333337,0.11,1.1833333333333333,-2.353333333333333,VCG,12Q,12
2.793333333333333,6.343333333333334,9.986666666666666,0.21999999999999997,-0.06333333333333332,1.2366666666666666,-2.18,VCG,20Q,20
5.510000000000001,3.1300000000000003,5.753333333333334,0.9533333333333333,0.24666666666666667,1.1500000000000001,-3.1633333333333336,VG,1Q,1
5.37,3.33,5.886666666666667,0.8666666666666666,0.2333333333333333,1.1566666666666665,-3.3333333333333335,VG,2Q,2
5.1066666666666665,3.3699999999999997,6.05,0.7966666666666665,0.21666666666666667,1.15,-3.5100000000000002,VG,3Q,3
5.116666666666667,3.5366666666666666,6.1866666666666665,0.7633333333333333,0.20333333333333334,1.15,-3.6733333333333333,VG,4Q,4
5.703333333333333,3.7133333333333334,6.526666666666667,0.8066666666666666,0.24333333333333332,1.1533333333333333,-3.8733333333333335,VG,5Q,5
5.4433333333333325,3.716666666666667,6.536666666666666,0.77,0.24333333333333332,1.1500000000000001,-3.9433333333333334,VG,6Q,6
5.8066666666666675,3.9599999999999995,6.836666666666666,0.7033333333333333,0.24333333333333332,1.1566666666666665,-3.7733333333333334,VG,8Q,8
5.8133333333333335,4.093333333333334,7.039999999999999,0.6766666666666666,0.24666666666666667,1.163333333333333,-4.010000000000001,VG,12Q,12
5.123333333333333,4.546666666666667,6.896666666666667,0.5666666666666667,0.12,1.1899999999999997,-4.343333333333333,VG,20Q,20
