Annualized Excess Return %,Annualized Excess Volatility %,Tracking Error,Information Ratio,Alpha,Beta,Max Excess Dd,Statistical Factors,Rank,Rank_nr,Holding Yrs
0.691,1.02,4.16,0.17,0.13,1.01,-2.832,VG,1Q,1,2
0.538,0.92,3.57,0.15,-0.05,1.04,-1.0546,VG,1Q,1,2
2.504,1.64,3.31,0.76,0.08,1.1,-1.9705,VG,1Q,1,2
3.432,2.93,4.78,0.72,0.19,1.19,-3.2783,VG,1Q,1,2
2.951,3.15,5.06,0.58,0.12,1.2,-3.492,VG,1Q,1,2
4.679,3.28,5.55,0.84,0.17,1.19,-3.7506,VG,1Q,1,2
4.739,2.7,5.68,0.83,0.29,1.13,-3.1231,VG,1Q,1,2
6.374,2.34,5.26,1.21,0.44,1.11,-2.3607,VG,1Q,1,2
7.424,2.49,5.46,1.36,0.44,1.11,-2.4385,VG,1Q,1,2
12.082,4.34,14.59,0.83,2.02,0.59,-5.3443,G,1Q,1,1
19.143,3.83,8.78,2.18,0.92,1.11,-1.3694,G,1Q,1,1
13.957,-0.0200000000000014,5.19,2.69,1.15,0.91,1.09,G,1Q,1,1
30.641,2.75,8.8,3.48,1.96,1.02,2.1872,G,1Q,1,1
6.106,2.59,3.41,1.79,0.15,1.29,-3.2301,VG,1Q,1,2
34.302,1.54,7.19,4.77,2.39,0.99,1.6355,G,1Q,1,1
5.205,2.46,3.18,1.64,0.15,1.28,-3.7173,VG,1Q,1,2
2.565,2.85,3.25,0.79,0.13,1.27,-3.7173,VG,1Q,1,1
-0.338999999999999,1.46,3.31,-0.1,-0.03,1.07,-0.572800000000001,C,1Q,1,1
2.732,1.81,2.79,0.98,0.02,1.12,-0.0445000000000002,C,1Q,1,1
-2.675,-1.23,2.92,-0.92,0.01,0.87,1.072,C,1Q,1,1
-2.954,-1.11,2.68,-1.1,-0.11,0.89,0.3656,C,1Q,1,1
-8.61,-0.18,2.17,-3.97,-0.36,0.98,-5.3055,C,1Q,1,1
-9.073,3.18,5.32,-1.71,-0.6,1.14,-4.9395,C,1Q,1,1
-7.138,3.14,4.49,-1.59,-0.74,1.12,-4.1572,C,1Q,1,1
-8.25,2.48,3.93,-2.1,-0.65,1.1,-3.9033,C,1Q,1,1
-6.157,2.12,4.06,-1.52,-0.64,1.08,-3.40020000000001,C,1Q,1,1
-11.807,2.94,4.74,-2.49,-0.76,1.11,-3.9815,C,1Q,1,1
-8.719,4.02,5.54,-1.57,-1.08,1.15,-5.31910000000001,C,1Q,1,1
-7.729,2.37,5.86,-1.32,-0.81,1.07,-4.3969,C,1Q,1,1
-6.584,4.24,7.72,-0.85,-0.66,1.14,-5.2008,C,1Q,1,1
-5.223,4.07,7.83,-0.67,-0.53,1.12,-4.9168,C,1Q,1,1
-6.154,3.07,7.22,-0.85,-0.45,1.08,-4.6216,C,1Q,1,1
-2.091,4.02,7.68,-0.27,-0.58,1.13,-5.2553,C,1Q,1,1
10.198,-1.33,6.11,1.67,0.94,0.87,-1.4027,C,1Q,1,1
12.01,-0.130000000000001,6.2,1.94,1.03,0.91,-1.4479,C,1Q,1,1
8.58900000000001,-0.540000000000001,6.4,1.34,0.81,0.87,-1.7056,C,1Q,1,1
14.84,-0.69,6.09,2.44,1.37,0.88,2.2092,C,1Q,1,1
7.652,1.84,7.89,0.97,0.88,0.99,1.8053,C,1Q,1,1
10.46,1.18,6.54,1.6,0.79,0.98,1.9396,C,1Q,1,1
10.071,1.86,5.55,1.81,0.52,1.06,0.875999999999999,C,1Q,1,1
4.90199999999999,2.62,5.11,0.96,0.04,1.14,-0.1563,C,1Q,1,1
-0.595000000000002,0.609999999999999,4.57,-0.13,0.19,0.97,0.2393,C,1Q,1,1
4.989,1.72,3.69,1.35,0.24,1.12,-2.9235,VG,1Q,1,2
2.181,2.28,5.11,0.43,0.19,1.11,-2.6795,VG,1Q,1,2
26.917,2.63,7.93,3.39,1.33,1.05,0.2905,G,1Q,1,1
-4.349,-0.48,8.49,-0.51,0.45,0.81,-1.1506,G,1Q,1,1
1.184,0.15,5.2,0.23,0.7,0.87,-4.0157,G,1Q,1,1
8.958,0.0300000000000011,5.4,1.66,0.85,0.84,-0.7309,G,1Q,1,1
11.467,0.130000000000001,5.36,2.14,0.94,0.85,0.4809,G,1Q,1,1
