Annualized Excess Return %,Annualized Excess Volatility %,Tracking Error,Information Ratio,Alpha,Beta,Max Excess Dd,Statistical Factors,Rank,Rank_nr,Holding Yrs
1.81,-3.26,7.41,0.24,0.83,0.68,-0.7181,G,2Q,2,1
27.609,2.18,7.63,3.62,1.67,1.0,0.6997,G,2Q,2,1
21.092,2.83,6.49,3.25,1.07,1.12,-1.8507,G,2Q,2,1
11.951,2.52,9.93,1.2,1.16,0.85,-2.3633,G,2Q,2,1
-0.129,2.92,3.88,-0.03,-0.25,1.15,-0.749199999999998,VG,2Q,2,1
-2.655,3.3,4.33,-0.61,-0.31,1.17,-0.831800000000001,VG,2Q,2,1
-2.087,3.37,4.19,-0.5,-0.64,1.23,-1.1373,VG,2Q,2,1
-4.787,2.42,3.3,-1.45,-0.57,1.18,-1.9646,VG,2Q,2,1
-4.959,1.1,2.62,-1.89,-0.58,1.07,0.00980000000000025,VG,2Q,2,1
-7.943,0.0,2.71,-2.93,-0.38,0.99,-4.61020000000001,VG,2Q,2,1
-1.503,5.25,6.71,-0.22,-0.17,1.24,-4.65920000000001,VG,2Q,2,1
-2.585,5.22,6.53,-0.4,-0.44,1.21,-4.6277,VG,2Q,2,1
-3.127,6.65,8.11,-0.39,-0.23,1.26,-4.8796,VG,2Q,2,1
0.321,7.51,8.8,0.04,-0.24,1.31,-5.7222,VG,2Q,2,1
13.773,-1.82,5.96,2.31,1.26,0.79,0.5242,G,2Q,2,1
-3.026,9.66,10.92,-0.28,-0.48,1.39,-7.2156,VG,2Q,2,1
5.768,3.82,6.64,0.87,0.24,1.15,-4.1185,G,2Q,2,1
3.226,-3.74,8.35,0.39,0.71,0.49,1.237,G,2Q,2,1
-3.376,1.72,6.11,-0.55,-0.3,1.04,-1.7328,V,2Q,2,2
9.256,5.27,10.7,0.87,0.68,1.16,-4.4228,V,2Q,2,2
4.753,3.72,9.46,0.5,0.32,1.08,-3.4894,V,2Q,2,2
3.845,2.87,8.8,0.44,0.2,1.03,-3.7385,V,2Q,2,2
3.772,4.12,9.03,0.42,0.02,1.13,-4.1923,V,2Q,2,2
-4.751,1.3,6.63,-0.72,-0.27,0.97,-0.1172,V,2Q,2,2
0.421000000000001,0.19,5.67,0.07,0.11,0.92,1.2162,V,2Q,2,2
-0.681999999999999,-0.0300000000000011,4.82,-0.14,0.0,0.92,1.3747,V,2Q,2,2
0.614,-0.73,5.78,0.11,-0.02,0.82,3.7454,V,2Q,2,2
1.517,-0.44,7.11,0.21,0.35,0.65,5.9981,V,2Q,2,2
3.696,-0.0900000000000016,4.57,0.81,0.31,0.87,0.0695999999999994,V,2Q,2,2
-0.763999999999999,1.01,5.65,-0.14,0.26,0.83,-1.5754,V,2Q,2,2
0.531999999999998,0.0599999999999996,5.1,0.1,0.39,0.77,0.3977,V,2Q,2,2
2.138,-4.98,9.05,0.24,0.46,0.57,-1.57100000000001,G,2Q,2,1
-1.131,-0.300000000000001,4.36,-0.26,0.16,0.79,0.802399999999999,V,2Q,2,2
13.032,3.86,6.99,1.86,0.74,1.21,0.3003,V,2Q,2,2
8.578,3.06,6.57,1.31,0.46,1.11,-0.0645000000000007,V,2Q,2,2
7.72,1.48,5.35,1.44,0.68,0.96,0.4198,V,2Q,2,2
10.683,3.26,6.88,1.55,0.56,1.09,-0.9628,V,2Q,2,2
13.197,5.4,9.08,1.45,0.55,1.25,-2.1368,V,2Q,2,2
15.522,6.84,9.66,1.61,0.34,1.5,-6.1436,V,2Q,2,2
6.126,7.08,10.13,0.6,-0.11,1.48,-4.3716,V,2Q,2,2
-2.038,2.93,4.62,-0.44,-0.29,1.15,-2.075,VG,2Q,2,1
-0.343000000000001,4.0,4.88,-0.07,-0.11,1.2,-2.9788,VG,2Q,2,1
-2.564,4.57,5.47,-0.47,-0.2,1.22,-3.6322,VG,2Q,2,1
-3.058,4.36,5.34,-0.57,-0.14,1.21,-3.1285,VG,2Q,2,1
-5.439,5.39,5.93,-0.92,-0.51,1.27,-3.4072,VG,2Q,2,1
-0.121000000000002,-3.91,7.47,-0.02,0.68,0.53,2.9713,G,2Q,2,1
3.915,0.52,4.53,0.86,0.49,0.88,0.766,V,2Q,2,2
-1.794,7.72,9.17,-0.2,-0.62,1.3,-5.77370000000001,VG,2Q,2,1
0.0229999999999997,8.61,10.49,0.0,-0.35,1.32,-6.701,VG,2Q,2,1
46.459,17.04,24.75,1.88,2.2,1.43,-1.2116,V,2Q,2,1
6.031,6.41,9.29,0.65,0.24,1.26,-4.6345,G,2Q,2,2
3.612,4.61,8.66,0.42,0.08,1.17,-4.6172,G,2Q,2,2
5.393,2.0,7.21,0.75,0.62,1.03,-3.0722,G,2Q,2,2
6.514,3.99,6.73,0.97,0.17,1.21,-4.8348,G,2Q,2,2
7.969,3.39,7.39,1.08,0.52,1.13,-4.257,G,2Q,2,2
4.218,3.35,6.75,0.62,0.21,1.15,-5.0452,G,2Q,2,2
4.062,3.47,6.56,0.62,0.22,1.16,-3.9519,G,2Q,2,2
11.361,4.65,8.87,1.28,0.72,1.18,-3.8759,G,2Q,2,2
9.658,4.15,7.46,1.29,0.89,1.19,-3.0189,G,2Q,2,2
4.678,0.699999999999999,4.11,1.14,0.48,0.96,1.0805,G,2Q,2,2
1.112,1.78,4.93,0.23,0.16,1.02,-0.848100000000001,G,2Q,2,2
1.08,1.15,4.81,0.22,0.13,0.97,0.3605,G,2Q,2,2
8.395,1.6,3.9,2.15,0.43,1.1,-0.5905,G,2Q,2,2
7.182,5.51,8.61,0.83,0.6,1.22,-3.5895,G,2Q,2,2
4.467,1.17,3.8,1.18,0.28,1.04,0.3407,G,2Q,2,2
-0.135999999999999,0.26,3.87,-0.04,0.06,0.9,0.257199999999999,G,2Q,2,2
8.759,2.02,5.09,1.72,0.64,1.07,-0.314,G,2Q,2,2
9.481,1.8,5.03,1.88,0.63,1.04,-0.2605,G,2Q,2,2
12.179,2.63,5.57,2.19,0.7,1.14,0.0664999999999996,G,2Q,2,2
7.366,2.18,5.65,1.3,0.89,1.04,-7.6167,G,2Q,2,2
3.289,3.86,6.04,0.54,-0.01,1.29,-6.9023,G,2Q,2,2
-0.938000000000001,3.7,5.6,-0.17,-0.17,1.3,-7.5748,G,2Q,2,2
0.819,4.67,6.56,0.12,-0.22,1.32,-8.3177,G,2Q,2,2
2.436,4.73,6.13,0.4,0.0,1.33,-6.4805,G,2Q,2,2
1.833,4.43,5.76,0.32,0.09,1.31,-6.1379,G,2Q,2,2
4.801,4.78,6.07,0.79,0.11,1.33,-5.5415,G,2Q,2,2
8.217,4.61,7.53,1.09,0.49,1.25,-4.2642,G,2Q,2,2
8.91,3.26,6.47,1.38,0.62,1.15,-3.1124,G,2Q,2,2
4.471,0.54,4.76,0.94,0.41,0.87,0.5784,G,2Q,2,2
8.983,5.0,8.37,1.07,0.58,1.19,-3.42590000000001,G,2Q,2,2
5.64,6.76,9.83,0.57,0.33,1.27,-6.0407,G,2Q,2,2
-0.367,4.7,6.58,-0.06,-0.22,1.2,-2.77520000000001,G,2Q,2,2
37.615,17.29,22.99,1.64,1.94,1.64,-4.3824,V,2Q,2,1
36.055,16.75,22.02,1.64,1.23,1.67,-3.1108,V,2Q,2,1
16.217,8.73,13.47,1.2,-0.08,1.36,-1.9702,V,2Q,2,1
23.71,10.23,17.25,1.37,1.05,1.23,-5.2017,V,2Q,2,1
-9.454,-2.42,6.9,-1.37,0.39,0.61,0.1191,V,2Q,2,1
1.247,-0.94,6.67,0.19,0.77,0.73,0.0532000000000004,VG,2Q,2,1
22.398,5.76,11.19,2.0,1.04,1.17,-1.3615,VG,2Q,2,1
21.921,5.01,9.69,2.26,0.8,1.18,0.627899999999999,VG,2Q,2,1
24.913,6.32,11.31,2.2,1.23,1.23,0.7026,VG,2Q,2,1
19.727,5.44,11.05,1.79,1.45,1.16,1.21,VG,2Q,2,1
26.484,5.29,11.38,2.33,1.37,1.13,0.6364,VG,2Q,2,1
30.535,4.53,10.61,2.88,1.5,1.1,-5.5064,VG,2Q,2,1
27.333,4.54,10.37,2.64,1.56,1.11,-5.4557,VG,2Q,2,1
47.885,7.29,11.48,4.17,1.85,1.28,-5.9998,VG,2Q,2,1
19.086,3.5,7.29,2.62,1.74,1.13,-7.0243,VG,2Q,2,1
11.635,10.31,12.8,0.91,0.19,1.34,-7.2394,VG,2Q,2,1
10.034,8.52,10.88,0.92,0.6,1.28,-5.2351,VG,2Q,2,1
9.137,9.59,11.8,0.77,0.15,1.35,-7.1452,VG,2Q,2,1
1.558,0.5,6.53,0.24,0.29,0.97,-1.4101,G,2Q,2,2
10.282,1.95,6.93,1.48,0.65,1.04,-2.9737,G,2Q,2,2
9.251,2.89,6.81,1.36,0.43,1.1,-4.7938,G,2Q,2,2
5.806,1.97,7.1,0.82,0.37,1.04,-3.0401,G,2Q,2,2
14.243,4.75,7.94,1.79,0.86,1.19,-4.1185,G,2Q,2,2
4.796,-0.309999999999999,8.46,0.57,0.64,0.9,-1.57100000000001,G,2Q,2,2
5.313,-0.940000000000001,8.08,0.66,0.53,0.87,-1.0587,G,2Q,2,2
8.358,0.309999999999999,8.19,1.02,0.71,0.93,-0.948600000000006,G,2Q,2,2
-0.866,-3.29,7.27,-0.12,0.31,0.79,1.735,G,2Q,2,2
4.56,-1.32,5.95,0.77,0.42,0.9,0.905200000000001,G,2Q,2,2
4.677,0.109999999999999,4.86,0.96,0.37,0.98,-0.142900000000004,G,2Q,2,2
-0.542,1.93,5.99,-0.09,-0.05,1.06,-0.939800000000002,V,2Q,2,2
2.954,1.41,4.64,0.64,0.18,1.05,-1.219,V,2Q,2,3
-1.934,0.83,5.2,-0.37,-0.16,1.0,-0.463600000000003,V,2Q,2,2
0.907,-1.63,6.36,0.14,0.11,0.8,3.2666,V,2Q,2,2
-1.189,16.45,19.44,-0.06,-0.83,1.57,-12.5223,V,2Q,2,1
-4.723,11.74,14.6,-0.32,-0.6,1.38,-8.63610000000001,V,2Q,2,1
-1.847,17.15,20.04,-0.09,-0.98,1.56,-12.0351,V,2Q,2,1
5.097,5.37,9.87,0.52,1.08,1.19,-9.3728,V,2Q,2,1
92.683,18.91,24.66,3.76,2.59,1.66,-16.3578,V,2Q,2,1
52.212,16.39,23.96,2.18,2.29,1.41,-17.3459,V,2Q,2,1
10.477,3.49,4.42,2.37,0.69,1.3,-1.6163,VG,2Q,2,1
17.679,3.34,4.67,3.79,0.72,1.32,-1.3152,VG,2Q,2,1
13.772,2.45,3.84,3.59,0.48,1.28,-1.7711,VG,2Q,2,1
11.181,2.71,4.02,2.78,0.38,1.32,-2.1731,VG,2Q,2,1
6.746,2.26,3.46,1.95,0.25,1.27,-1.4435,VG,2Q,2,1
6.718,2.75,4.34,1.55,0.21,1.29,-1.258,VG,2Q,2,1
7.59,3.22,4.82,1.57,0.03,1.35,-0.00140000000000029,VG,2Q,2,1
-10.054,18.03,20.35,-0.49,-1.48,1.65,-13.0425,V,2Q,2,1
5.95,2.67,4.49,1.33,0.21,1.27,-1.0878,VG,2Q,2,1
4.564,2.34,4.05,1.13,-0.06,1.24,-0.974,VG,2Q,2,1
8.307,2.49,3.96,2.1,0.12,1.32,-0.8406,VG,2Q,2,1
4.474,0.58,2.45,1.83,0.3,0.96,-0.4812,VG,2Q,2,1
1.182,1.58,2.62,0.45,-0.27,1.25,-0.702,VG,2Q,2,1
-0.247,0.930000000000001,2.54,-0.1,-0.1,1.06,-0.9055,VG,2Q,2,1
1.339,-0.0900000000000007,2.6,0.52,0.22,0.93,0.352,VG,2Q,2,1
3.091,-0.510000000000001,2.32,1.33,0.24,0.89,0.3865,VG,2Q,2,1
0.754,0.17,2.81,0.27,0.09,0.97,-0.1213,VG,2Q,2,1
11.984,-0.0100000000000016,2.94,4.08,0.7,0.94,-0.263200000000001,VG,2Q,2,1
3.974,0.279999999999999,5.03,0.79,0.29,0.92,1.0805,G,2Q,2,1
12.66,-0.109999999999999,3.58,3.54,0.93,0.91,-0.1792,VG,2Q,2,1
3.674,2.46,6.06,0.61,0.24,1.0,-1.0453,G,2Q,2,1
7.114,2.04,3.72,1.91,0.22,1.2,-0.369,G,2Q,2,1
0.738,1.94,3.56,0.21,-0.09,1.2,-1.2273,VG,2Q,2,1
6.134,2.87,4.8,1.28,0.14,1.27,-1.9423,G,2Q,2,1
-7.487,16.69,18.3,-0.41,-1.26,1.64,-11.6074,V,2Q,2,1
-9.787,15.05,17.44,-0.56,-1.07,1.58,-9.6287,V,2Q,2,1
0.635,3.96,6.87,0.09,-0.02,1.23,-6.7724,V,2Q,2,3
4.917,3.85,6.56,0.75,0.19,1.24,-5.4598,V,2Q,2,3
7.056,4.29,7.19,0.98,0.4,1.25,-5.9417,V,2Q,2,3
9.138,6.27,9.39,0.97,0.33,1.37,-8.1158,V,2Q,2,3
9.399,5.51,8.88,1.06,0.35,1.3,-7.0406,V,2Q,2,3
2.949,5.42,8.96,0.33,0.1,1.29,-5.4156,V,2Q,2,3
4.84,3.56,6.13,0.79,0.31,1.18,-3.4221,G,2Q,2,2
15.466,3.83,6.41,2.41,0.76,1.16,-3.6251,G,2Q,2,2
10.651,1.36,5.08,2.1,0.51,1.04,-2.5423,G,2Q,2,2
3.133,-0.159999999999997,5.8,0.54,0.39,0.94,-1.5407,G,2Q,2,2
6.674,-0.56,6.69,1.0,0.22,0.86,3.2666,V,2Q,2,1
3.819,-0.639999999999999,6.1,0.63,0.21,0.89,4.648,V,2Q,2,1
-3.392,2.91,5.71,-0.59,-0.22,1.13,-1.5032,V,2Q,2,1
-5.412,19.8,21.97,-0.25,-1.04,1.77,-13.8492,V,2Q,2,1
-4.321,1.85,5.46,-0.79,-0.21,1.06,-0.0750000000000028,V,2Q,2,1
-3.255,4.24,6.86,-0.47,-0.35,1.19,-2.2955,V,2Q,2,1
-9.403,6.18,8.11,-1.16,-0.73,1.28,-4.4006,V,2Q,2,1
-6.713,5.72,7.05,-0.95,-0.29,1.27,-2.9796,V,2Q,2,1
-1.15,7.09,8.22,-0.14,-0.28,1.34,-0.921400000000002,V,2Q,2,1
1.334,9.47,11.15,0.12,-0.5,1.48,-1.9672,V,2Q,2,1
-4.504,10.99,12.48,-0.36,-0.73,1.56,-2.6013,V,2Q,2,1
-0.850000000000001,12.11,12.67,-0.07,-1.92,1.85,-6.266,V,2Q,2,1
-9.477,10.92,11.6,-0.82,-1.78,1.86,-8.4719,V,2Q,2,1
-13.144,8.75,9.72,-1.35,-1.87,1.67,-2.9489,V,2Q,2,1
-18.024,7.92,10.07,-1.79,-1.22,1.43,-8.9524,V,2Q,2,1
-8.81,7.44,9.28,-0.95,-0.59,1.33,-5.3516,V,2Q,2,1
-11.676,9.89,12.57,-0.93,-1.0,1.37,-6.7916,V,2Q,2,1
-8.929,9.52,12.06,-0.74,-0.85,1.35,-5.2677,V,2Q,2,1
-3.26,1.2,5.63,-0.58,-0.33,1.02,0.824999999999999,V,2Q,2,1
4.558,2.59,5.5,0.83,0.18,1.12,-1.7524,G,2Q,2,1
-4.315,1.8,3.59,-1.2,-0.53,1.16,-2.9682,G,2Q,2,1
7.914,4.08,5.69,1.39,0.11,1.47,-2.4814,G,2Q,2,1
2.076,0.959999999999999,4.09,0.51,0.08,1.03,-1.8286,VG,2Q,2,1
-0.606999999999999,0.709999999999999,4.93,-0.12,0.04,0.98,-1.9449,VG,2Q,2,1
6.027,0.719999999999999,4.97,1.21,0.34,0.99,-0.259300000000003,VG,2Q,2,1
4.42,1.61,3.65,1.21,0.17,1.08,0.113699999999998,VG,2Q,2,1
1.393,3.27,4.52,0.31,0.18,1.18,-2.208,VG,2Q,2,1
-0.525,2.81,4.55,-0.12,0.03,1.15,-1.6409,VG,2Q,2,1
8.829,12.64,17.03,0.52,0.02,1.47,-12.5223,V,2Q,2,2
11.661,14.32,18.19,0.64,0.31,1.57,-13.0425,V,2Q,2,2
18.582,13.96,17.08,1.09,0.22,1.6,-11.6074,V,2Q,2,2
21.417,16.52,20.05,1.07,0.29,1.7,-13.8492,V,2Q,2,2
10.738,13.73,17.87,0.6,0.0,1.54,-9.6287,V,2Q,2,2
7.142,9.63,14.0,0.51,0.03,1.36,-5.2677,V,2Q,2,2
4.922,8.56,11.56,0.43,-0.21,1.36,-6.7916,V,2Q,2,2
5.836,-0.710000000000001,4.09,1.43,0.93,0.84,-1.8496,VG,2Q,2,1
1.932,7.39,9.66,0.2,-0.06,1.32,-5.3516,V,2Q,2,2
-1.856,9.71,12.23,-0.15,-0.57,1.42,-9.8825,V,2Q,2,2
-0.507000000000001,11.51,13.56,-0.04,-0.75,1.51,-10.18,V,2Q,2,2
9.111,15.6,18.28,0.5,-0.35,1.65,-13.2938,V,2Q,2,2
-3.161,10.04,12.74,-0.25,-0.59,1.41,-9.94090000000001,V,2Q,2,2
-5.484,10.2,12.47,-0.44,-0.82,1.43,-12.1918,V,2Q,2,2
-6.804,6.72,8.85,-0.77,-0.78,1.28,-7.4168,V,2Q,2,2
-5.218,6.11,7.49,-0.7,-0.45,1.27,-6.7118,V,2Q,2,2
-8.16,6.74,8.63,-0.95,-0.85,1.3,-7.4801,V,2Q,2,2
-8.865,5.53,7.9,-1.12,-0.82,1.23,-7.7753,V,2Q,2,2
-9.742,2.46,6.56,-1.49,-0.8,1.08,-5.3364,V,2Q,2,2
-4.377,3.04,5.88,-0.74,-0.39,1.13,-5.52480000000001,V,2Q,2,2
-7.291,1.59,5.03,-1.45,-0.45,1.05,-5.2208,V,2Q,2,2
0.349,-2.43,7.17,0.05,0.23,0.71,4.648,V,2Q,2,2
-2.71,9.42,11.99,-0.23,-0.51,1.4,-8.9524,V,2Q,2,2
6.945,-1.03,4.15,1.67,0.75,0.8,0.2141,VG,2Q,2,1
10.604,-0.629999999999999,4.4,2.41,0.99,0.82,-0.0806000000000004,VG,2Q,2,1
10.15,0.51,3.76,2.7,1.0,0.97,-0.2279,VG,2Q,2,1
6.191,4.0,5.82,1.06,0.1,1.43,-2.0312,G,2Q,2,1
10.216,4.56,6.1,1.67,-0.01,1.55,-2.9522,G,2Q,2,1
17.715,2.82,4.89,3.62,0.78,1.22,-0.5586,G,2Q,2,1
5.922,2.4,4.19,1.41,0.04,1.22,-2.4738,G,2Q,2,1
4.841,2.93,4.62,1.05,-0.2,1.33,-3.5007,G,2Q,2,1
8.534,2.48,4.71,1.81,0.3,1.13,-3.029,G,2Q,2,1
8.082,0.549999999999999,3.27,2.47,0.8,0.99,-0.0210000000000008,G,2Q,2,1
11.529,0.25,3.07,3.76,0.93,0.96,0.120699999999999,G,2Q,2,1
9.346,1.48,3.32,2.82,0.74,1.11,-0.8034,G,2Q,2,1
15.056,2.56,6.93,2.17,0.84,1.03,0.146799999999999,G,2Q,2,1
14.201,1.12,5.85,2.43,1.14,0.92,0.361599999999999,G,2Q,2,1
12.49,2.17,5.37,2.33,0.97,1.09,0.195699999999999,G,2Q,2,1
10.227,0.82,5.11,2.0,0.65,0.94,0.151899999999999,G,2Q,2,1
12.225,0.74,6.09,2.01,1.05,0.88,0.1159,G,2Q,2,1
4.0,0.31,6.31,0.63,1.16,0.81,-5.5518,G,2Q,2,1
1.836,3.96,7.05,0.26,0.03,1.21,-5.3336,G,2Q,2,1
-1.102,3.12,7.01,-0.16,-0.07,1.12,-5.0452,G,2Q,2,1
5.38,3.21,7.19,0.75,0.47,1.12,-4.257,G,2Q,2,1
5.027,5.29,7.82,0.64,0.16,1.26,-4.8348,G,2Q,2,1
6.138,4.87,7.94,0.77,0.59,1.22,-3.507,G,2Q,2,1
3.271,4.85,7.84,0.42,0.28,1.22,-4.1125,G,2Q,2,1
-0.815,5.71,8.15,-0.1,-0.23,1.28,-5.8995,G,2Q,2,1
2.569,4.99,7.63,0.34,0.15,1.22,-4.6248,G,2Q,2,1
4.276,4.0,6.47,0.66,0.33,1.17,-3.8374,G,2Q,2,1
58.336,15.42,23.36,2.5,2.42,1.35,-17.6203,V,2Q,2,1
-9.728,4.09,5.58,-1.74,-0.74,1.19,-5.9573,G,2Q,2,1
-1.591,-2.69,4.87,-0.33,0.04,0.82,0.395,G,2Q,2,1
-0.821000000000002,-2.84,6.57,-0.12,0.16,0.79,0.935600000000001,G,2Q,2,1
-3.324,-4.26,7.43,-0.45,0.76,0.59,2.3805,G,2Q,2,1
-1.979,0.139999999999999,5.62,-0.35,-0.08,0.94,0.453199999999999,V,2Q,2,2
0.58,3.54,5.97,0.1,0.02,1.15,-3.9802,G,2Q,2,1
2.134,1.93,6.31,0.34,0.31,0.97,-0.848100000000001,G,2Q,2,1
1.789,1.58,3.62,0.49,0.05,1.09,-1.6259,VCG,2Q,2,3
2.38,2.24,4.27,0.56,0.09,1.15,-3.6792,VG,2Q,2,3
4.525,2.6,4.13,1.1,0.21,1.2,-3.0895,VG,2Q,2,3
6.952,3.12,4.63,1.5,0.34,1.24,-4.1335,VG,2Q,2,3
2.241,0.199999999999999,5.45,0.41,0.52,0.9,0.5823,C,2Q,2,1
6.269,3.37,7.2,0.87,0.14,1.14,0.3719,C,2Q,2,1
11.851,2.48,6.44,1.84,0.5,1.09,0.7354,C,2Q,2,1
8.455,0.67,5.59,1.51,0.73,0.97,2.6512,C,2Q,2,1
6.113,-0.0800000000000001,6.99,0.87,0.88,0.88,2.4017,C,2Q,2,1
7.486,-1.71,5.92,1.26,1.3,0.82,2.7905,C,2Q,2,1
8.537,-0.370000000000001,6.92,1.23,0.86,0.87,-1.367,C,2Q,2,1
9.041,-0.0600000000000005,6.13,1.47,1.0,0.91,-1.3713,C,2Q,2,1
10.427,-0.710000000000001,6.05,1.72,0.87,0.91,-1.1556,C,2Q,2,1
-4.007,-1.54,5.46,-0.73,0.56,0.87,-3.9386,C,2Q,2,1
-5.637,1.76,6.11,-0.92,-0.42,1.04,-3.5977,C,2Q,2,1
-9.183,2.58,6.92,-1.33,-0.73,1.07,-4.618,C,2Q,2,1
6.116,3.18,4.92,1.24,0.23,1.23,-4.6945,VG,2Q,2,3
6.641,2.47,4.41,1.51,0.31,1.17,-3.9736,VG,2Q,2,3
4.048,2.48,4.47,0.91,0.21,1.19,-3.5888,VG,2Q,2,3
1.939,1.31,4.09,0.47,0.07,1.06,-0.958600000000001,VCG,2Q,2,3
-7.295,0.52,5.93,-1.23,-0.66,0.99,-3.55860000000001,C,2Q,2,1
3.462,0.710000000000001,4.83,0.72,0.36,0.99,-2.2688,VCG,2Q,2,3
1.113,3.45,6.4,0.17,0.02,1.16,-6.4059,VCG,2Q,2,3
5.909,4.42,7.48,0.79,0.3,1.2,-5.5754,VCG,2Q,2,3
6.688,5.27,9.32,0.72,0.56,1.21,-6.4801,VCG,2Q,2,3
5.685,4.99,9.24,0.62,0.32,1.19,-6.2135,VCG,2Q,2,3
2.651,2.84,4.66,0.57,0.03,1.19,-4.0247,VG,2Q,2,3
4.533,2.73,4.82,0.94,0.21,1.17,-3.4696,VG,2Q,2,3
2.944,2.37,4.38,0.67,0.14,1.15,-3.5622,VG,2Q,2,3
3.822,2.66,4.86,0.79,0.25,1.16,-3.8047,VG,2Q,2,3
6.502,4.45,7.38,0.88,0.36,1.19,-5.0437,VG,2Q,2,3
1.972,3.65,6.35,0.31,-0.02,1.16,-4.9285,VG,2Q,2,3
4.867,4.2,6.35,0.77,0.12,1.19,-5.24,VG,2Q,2,3
5.569,4.86,7.1,0.78,0.21,1.22,-5.091,VG,2Q,2,3
6.059,5.47,7.93,0.76,0.24,1.24,-6.20200000000001,VG,2Q,2,3
0.837999999999999,4.55,6.46,0.13,-0.17,1.21,-4.812,VG,2Q,2,3
3.405,4.09,6.15,0.55,-0.01,1.19,-5.7985,VG,2Q,2,3
2.724,3.0,5.26,0.52,0.04,1.13,-3.77670000000001,VG,2Q,2,3
1.401,0.66,1.59,0.88,-0.09,1.1,-0.0309999999999997,C,2Q,2,1
-4.793,7.29,8.48,-0.57,-0.73,1.29,-6.27480000000001,VCG,2Q,2,1
-6.513,6.56,8.81,-0.74,-0.84,1.24,-6.271,VCG,2Q,2,1
-2.363,7.22,9.47,-0.25,-0.16,1.26,-6.2624,VCG,2Q,2,1
8.806,5.45,9.62,0.92,0.51,1.21,-6.4275,VCG,2Q,2,3
4.628,7.85,9.84,0.47,0.12,1.27,-5.8922,VCG,2Q,2,1
9.073,7.61,9.56,0.95,-0.45,1.28,-5.6779,VCG,2Q,2,1
29.667,3.61,9.44,3.14,1.54,1.08,-4.8367,VCG,2Q,2,1
24.743,3.74,10.65,2.32,1.49,1.02,-4.4573,VCG,2Q,2,1
29.395,3.26,10.67,2.75,1.56,0.98,-4.8937,VCG,2Q,2,1
22.901,2.98,10.45,2.19,1.5,0.97,1.2322,VCG,2Q,2,1
23.679,4.22,11.12,2.13,1.47,1.04,1.1393,VCG,2Q,2,1
16.56,5.55,12.14,1.36,1.19,1.09,1.4352,VCG,2Q,2,1
16.268,4.74,10.62,1.53,0.88,1.08,0.7305,VCG,2Q,2,1
0.861000000000001,2.13,4.28,0.2,-0.07,1.13,-2.5481,VG,2Q,2,3
2.689,1.39,4.72,0.57,0.14,1.05,-1.1531,VG,2Q,2,3
4.057,2.12,4.55,0.89,0.18,1.12,-2.402,VG,2Q,2,3
6.068,3.29,5.52,1.1,0.22,1.2,-4.4395,VG,2Q,2,3
8.938,6.62,8.7,1.03,0.24,1.22,-5.502,VCG,2Q,2,1
0.454000000000001,3.79,5.36,0.08,-0.14,1.19,-4.7811,VCG,2Q,2,3
2.575,2.57,5.15,0.5,0.1,1.11,-3.8196,VCG,2Q,2,3
7.843,3.12,6.47,1.21,0.47,1.12,-4.801,VCG,2Q,2,3
-0.909000000000001,0.830000000000002,2.74,-0.33,-0.05,1.04,0.742799999999999,C,2Q,2,1
1.858,1.82,2.66,0.7,0.01,1.1,-0.650400000000001,C,2Q,2,1
0.540999999999999,0.789999999999999,2.67,0.2,-0.04,1.04,-0.246500000000001,C,2Q,2,1
0.29,-0.520000000000001,2.45,0.12,0.07,0.94,0.52,C,2Q,2,1
-0.779,-1.17,2.37,-0.33,-0.14,0.89,-0.404,C,2Q,2,1
-2.93,-1.23,3.01,-0.97,-0.1,0.83,-0.386800000000001,C,2Q,2,1
-2.535,-1.28,2.71,-0.94,0.09,0.83,0.473899999999999,C,2Q,2,1
-1.13,-1.14,3.0,-0.38,0.14,0.83,0.5846,C,2Q,2,1
-2.031,-1.35,3.01,-0.67,0.04,0.81,0.741899999999999,C,2Q,2,1
-1.835,-1.01,2.98,-0.62,0.01,0.84,0.666399999999999,C,2Q,2,1
2.7,1.71,2.35,1.15,0.21,1.15,-0.757099999999999,C,2Q,2,1
4.817,1.24,2.72,1.77,0.16,1.11,-0.905900000000001,C,2Q,2,1
-0.897,1.0,2.61,-0.34,-0.07,1.05,0.521299999999997,C,2Q,2,1
3.814,1.3,2.23,1.71,0.0,1.16,-0.7159,C,2Q,2,1
2.4,1.0,1.82,1.32,-0.01,1.13,-0.6721,C,2Q,2,1
1.763,0.92,1.61,1.1,-0.07,1.12,-0.9392,C,2Q,2,1
3.817,0.95,2.17,1.76,0.16,1.1,-0.373600000000001,C,2Q,2,1
-1.189,-1.27,3.62,-0.33,0.14,0.79,0.757399999999999,C,2Q,2,1
4.337,-1.56,3.21,1.35,0.57,0.78,0.6999,C,2Q,2,1
3.672,0.0299999999999994,1.89,1.94,0.12,0.98,0.3528,C,2Q,2,1
1.967,-0.0300000000000002,2.18,0.9,0.14,0.96,0.354899999999999,C,2Q,2,1
2.429,0.430000000000001,1.67,1.45,0.19,1.03,0.4459,C,2Q,2,1
4.355,-0.18,1.7,2.56,0.59,0.87,0.3647,C,2Q,2,1
1.309,0.71,1.37,0.96,0.05,1.1,0.1707,C,2Q,2,1
2.622,1.02,1.79,1.46,0.03,1.15,0.1453,C,2Q,2,1
