Annualized Excess Return %,Annualized Excess Volatility %,Tracking Error,Information Ratio,Alpha,Beta,Max Excess Dd,Statistical Factors,Holding Yrs,Rank_nr
-0.23888888888888882,0.61,3.921111111111111,0.019999999999999997,0.02666666666666667,0.9888888888888889,-0.6977777777777777,C,1,
-0.62,0.8999999999999999,3.8133333333333335,-0.048888888888888885,-0.07222222222222223,1.0222222222222221,-2.1844444444444444,C,2,
0.11666666666666664,0.708888888888889,3.705555555555555,0.0711111111111111,-0.0011111111111111137,1.018888888888889,-2.9155555555555552,C,3,
8.456666666666667,1.7477777777777779,6.392222222222222,1.4366666666666665,0.6144444444444445,1.0388888888888888,-1.9066666666666672,G,1,
8.882222222222223,2.877777777777778,6.964444444444443,1.2922222222222222,0.5777777777777778,1.1122222222222224,-2.618888888888889,G,2,
10.18,4.38,7.796666666666665,1.28,0.5755555555555556,1.19,-3.4166666666666665,G,3,
5.302222222222222,8.745555555555555,13.14111111111111,0.061111111111111116,-0.11888888888888889,1.2755555555555556,-5.487777777777778,V,1,
-1.9977777777777779,6.206666666666667,10.425555555555555,-0.2533333333333333,-0.41999999999999993,1.2166666666666666,-6.325555555555556,V,2,
-0.6244444444444445,4.761111111111111,9.836666666666668,-0.18333333333333335,-0.16444444444444445,1.138888888888889,-6.493333333333333,V,3,
4.531111111111111,4.082222222222223,7.0488888888888885,0.42000000000000004,0.1388888888888889,1.1366666666666667,-2.211111111111111,VCG,1,
2.1944444444444446,3.9444444444444446,6.484444444444446,0.33888888888888885,-0.01,1.1677777777777776,-3.738888888888889,VCG,2,
4.416666666666667,3.985555555555556,7.190000000000001,0.6133333333333333,0.1733333333333333,1.162222222222222,-4.273333333333334,VCG,3,
6.877777777777778,3.7511111111111117,6.52,0.8466666666666667,0.28111111111111114,1.1455555555555554,-2.511111111111111,VG,1,
3.7533333333333334,3.4855555555555555,5.852222222222222,0.6533333333333333,0.11555555555555556,1.1577777777777776,-3.9511111111111115,VG,2,
5.699999999999999,3.8955555555555557,6.865555555555556,0.8011111111111111,0.2688888888888889,1.17,-4.745555555555556,VG,3,
