Date,Group,Portfolio Return
2020-01-31,India Under-served,100.0
2020-02-29,India Under-served,92.525577456611
2020-03-31,India Under-served,64.05597020481424
2020-04-30,India Under-served,74.79050467493293
2020-05-31,India Under-served,72.16472115389152
2020-06-30,India Under-served,82.01438029971142
2020-07-31,India Under-served,92.55142875071435
2020-08-31,India Under-served,101.52585689325596
2020-09-30,India Under-served,101.00185882539616
2020-10-31,India Under-served,95.84442261621605
2020-11-30,India Under-served,107.4186215448623
2020-12-31,India Under-served,111.78032864291765
2021-01-31,India Under-served,115.90569372186118
2021-02-28,India Under-served,119.92342546823988
2021-03-31,India Under-served,121.54741376828609
2021-04-30,India Under-served,124.22770065087673
2021-05-31,India Under-served,135.61389922775348
2021-06-30,India Under-served,153.59750195387628
2021-07-31,India Under-served,188.8451648613512
2021-08-31,India Under-served,213.54651823118476
2021-09-30,India Under-served,217.36250896695648
2021-10-31,India Under-served,216.85138725273765
2021-11-30,India Under-served,198.79818987749417
2021-12-31,India Under-served,214.84183446988462
2022-01-31,India Under-served,214.6115091412386
2022-02-28,India Under-served,208.14271948685374
2022-03-31,India Under-served,231.8186695401715
2022-04-30,India Under-served,243.9003996074055
2022-05-31,India Under-served,226.03345389169954
2022-06-30,India Under-served,224.62560935432523
2022-07-31,India Under-served,241.6187806075343
2022-08-31,India Under-served,257.2547980656088
2022-09-30,India Under-served,243.4085639981981
2022-10-31,India Under-served,247.47574945268403
2022-11-30,India Under-served,263.47629999093886
2022-12-31,India Under-served,253.21053817424888
2023-01-31,India Under-served,243.5525918047101
2023-02-28,India Under-served,240.36798759241935
2023-03-31,India Under-served,238.97716051971338
2023-04-30,India Under-served,253.79819620756138
2023-05-31,India Under-served,250.68858990971628
2023-06-30,India Under-served,272.6441191011603
2023-07-31,India Under-served,290.20303281241667
2023-08-31,India Under-served,303.3176913114531
2023-09-30,India Under-served,314.64868634237814
2023-10-31,India Under-served,307.7529537547012
2023-11-30,India Under-served,322.6991255628011
2023-12-31,India Under-served,323.25673941414186
2024-01-31,India Under-served,335.18776017547697
2024-02-29,India Under-served,323.8865156028294
2020-01-31,Nifty 50,100.0
2020-02-29,Nifty 50,93.64367457803819
2020-03-31,Nifty 50,71.87492161661154
2020-04-30,Nifty 50,82.42616260084155
2020-05-31,Nifty 50,80.08878036596491
2020-06-30,Nifty 50,86.12283795694404
2020-07-31,Nifty 50,92.57112045836432
2020-08-31,Nifty 50,95.19649556039931
2020-09-30,Nifty 50,94.02571967284051
2020-10-31,Nifty 50,97.325293046704
2020-11-30,Nifty 50,108.41652428917867
2020-12-31,Nifty 50,116.88322791461746
2021-01-31,Nifty 50,113.98115826399469
2021-02-28,Nifty 50,121.459327412062
2021-03-31,Nifty 50,122.80983683208143
2021-04-30,Nifty 50,122.31159877478567
2021-05-31,Nifty 50,130.2675247589436
2021-06-30,Nifty 50,131.42701507463758
2021-07-31,Nifty 50,131.77436055961388
2021-08-31,Nifty 50,143.2200430627186
2021-09-30,Nifty 50,147.2824390371155
2021-10-31,Nifty 50,147.7296829457426
2021-11-30,Nifty 50,141.9744478706412
2021-12-31,Nifty 50,143.8202695150276
2022-01-31,Nifty 50,141.5576942775054
2022-02-28,Nifty 50,137.10071088939569
2022-03-31,Nifty 50,142.57734302405623
2022-04-30,Nifty 50,143.5793099897083
2022-05-31,Nifty 50,139.23059692483574
2022-06-30,Nifty 50,132.47833840820306
2022-07-31,Nifty 50,144.0469225968967
2022-08-31,Nifty 50,149.09285692606895
2022-09-30,Nifty 50,143.51046937856313
2022-10-31,Nifty 50,151.2160027379338
2022-11-30,Nifty 50,157.48008044577855
2022-12-31,Nifty 50,152.8178067220573
2023-01-31,Nifty 50,148.27726335445928
2023-02-28,Nifty 50,145.27010307320805
2023-03-31,Nifty 50,145.73855520480924
2023-04-30,Nifty 50,151.6592692348272
2023-05-31,Nifty 50,155.59997563279168
2023-06-30,Nifty 50,165.28179976296158
2023-07-31,Nifty 50,170.14618315292662
2023-08-31,Nifty 50,165.839513460879
2023-09-30,Nifty 50,169.15564915208168
2023-10-31,Nifty 50,164.33906976685466
2023-11-30,Nifty 50,173.09883588316734
2023-12-31,Nifty 50,187.17992309453348
2024-01-31,Nifty 50,187.1308270817477
2024-02-29,Nifty 50,197.10546233384716
2020-01-31,S&P BSE 500,100.0
2020-02-29,S&P BSE 500,93.46835518221434
2020-03-31,S&P BSE 500,70.91606861748998
2020-04-30,S&P BSE 500,81.28533186814528
2020-05-31,S&P BSE 500,79.32907810353885
2020-06-30,S&P BSE 500,85.86775174564349
2020-07-31,S&P BSE 500,91.66999468294159
2020-08-31,S&P BSE 500,95.144925048822
2020-09-30,S&P BSE 500,94.89572074330316
2020-10-31,S&P BSE 500,97.22169149555057
2020-11-30,S&P BSE 500,108.44553383793063
2020-12-31,S&P BSE 500,116.93496594170767
2021-01-31,S&P BSE 500,114.85762443650134
2021-02-28,S&P BSE 500,123.77945798464533
2021-03-31,S&P BSE 500,125.25359729663501
2021-04-30,S&P BSE 500,125.81315679484727
2021-05-31,S&P BSE 500,134.539524744065
2021-06-30,S&P BSE 500,137.14601007179738
2021-07-31,S&P BSE 500,139.00283772357142
2021-08-31,S&P BSE 500,148.0799447191695
2021-09-30,S&P BSE 500,152.95738409384745
2021-10-31,S&P BSE 500,153.2931709454763
2021-11-30,S&P BSE 500,152.104083000832
2021-12-31,S&P BSE 500,152.14881199233105
2022-01-31,S&P BSE 500,151.53723905929235
2022-02-28,S&P BSE 500,145.31575778015178
2022-03-31,S&P BSE 500,151.40765284161574
2022-04-30,S&P BSE 500,150.49160337508067
2022-05-31,S&P BSE 500,143.75663345656352
2022-06-30,S&P BSE 500,136.26069576858427
2022-07-31,S&P BSE 500,149.26468752600172
2022-08-31,S&P BSE 500,156.0500095243729
2022-09-30,S&P BSE 500,151.07186603815325
2022-10-31,S&P BSE 500,157.12363276860592
2022-11-30,S&P BSE 500,162.3454853055768
2022-12-31,S&P BSE 500,157.2273401024567
2023-01-31,S&P BSE 500,151.94088613477905
2023-02-28,S&P BSE 500,147.50843615218201
2023-03-31,S&P BSE 500,147.98908100020748
2023-04-30,S&P BSE 500,154.69433808693717
2023-05-31,S&P BSE 500,160.12763089361954
2023-06-30,S&P BSE 500,166.6387642487596
2023-07-31,S&P BSE 500,172.9670200008537
2023-08-31,S&P BSE 500,171.5596546643936
2023-09-30,S&P BSE 500,175.13151911064784
2023-10-31,S&P BSE 500,170.00327794410597
2023-11-30,S&P BSE 500,181.74297322106656
2023-12-31,S&P BSE 500,196.29810196667964
2024-01-31,S&P BSE 500,200.02383412442398
2024-02-29,S&P BSE 500,203.05051620873968
2020-01-31,S&P BSE Midcap,100.0
2020-02-29,S&P BSE Midcap,94.42511030139084
2020-03-31,S&P BSE Midcap,68.36064650325211
2020-04-30,S&P BSE Midcap,77.6965607783617
2020-05-31,S&P BSE Midcap,76.59560432269778
2020-06-30,S&P BSE Midcap,84.43455929346594
2020-07-31,S&P BSE Midcap,88.98655478363392
2020-08-31,S&P BSE Midcap,94.8194963092764
2020-09-30,S&P BSE Midcap,95.10406470663911
2020-10-31,S&P BSE Midcap,96.39509996445011
2020-11-30,S&P BSE Midcap,108.98790002568013
2020-12-31,S&P BSE Midcap,116.03556068671932
2021-01-31,S&P BSE Midcap,116.94469216892267
2021-02-28,S&P BSE Midcap,129.21120862417996
2021-03-31,S&P BSE Midcap,130.52190495807278
2021-04-30,S&P BSE Midcap,131.368431399367
2021-05-31,S&P BSE Midcap,140.72161378712207
2021-06-30,S&P BSE Midcap,145.7504554677064
2021-07-31,S&P BSE Midcap,149.3157745970395
2021-08-31,S&P BSE Midcap,154.27121053374208
2021-09-30,S&P BSE Midcap,163.32346181814987
2021-10-31,S&P BSE Midcap,163.48275544518106
2021-11-30,S&P BSE Midcap,163.58157833369646
2021-12-31,S&P BSE Midcap,161.49310470604
2022-01-31,S&P BSE Midcap,159.18376714762564
2022-02-28,S&P BSE Midcap,151.0515773789154
2022-03-31,S&P BSE Midcap,155.9174389312915
2022-04-30,S&P BSE Midcap,157.92280563079942
2022-05-31,S&P BSE Midcap,149.6818330817588
2022-06-30,S&P BSE Midcap,140.4296077919023
2022-07-31,S&P BSE Midcap,155.54834073751812
2022-08-31,S&P BSE Midcap,164.20749950527588
2022-09-30,S&P BSE Midcap,160.74197335963234
2022-10-31,S&P BSE Midcap,164.0085603300196
2022-11-30,S&P BSE Midcap,167.83645850571057
2022-12-31,S&P BSE Midcap,163.72062878103634
2023-01-31,S&P BSE Midcap,159.37598020566094
2023-02-28,S&P BSE Midcap,156.2407474702184
2023-03-31,S&P BSE Midcap,155.643347794335
2023-04-30,S&P BSE Midcap,164.87138474228013
2023-05-31,S&P BSE Midcap,175.26860997133363
