Date,Group,Portfolio Return
2016-01-31,India Under-served,100.0
2016-02-29,India Under-served,91.34282438649431
2016-03-31,India Under-served,101.53761226963036
2016-04-30,India Under-served,103.38957920655218
2016-05-31,India Under-served,106.78306309219775
2016-06-30,India Under-served,112.8075095604258
2016-07-31,India Under-served,116.15680905800228
2016-08-31,India Under-served,119.60306327683558
2016-09-30,India Under-served,120.17952889045803
2016-10-31,India Under-served,124.38209361522314
2016-11-30,India Under-served,116.23888122415325
2016-12-31,India Under-served,115.12238836176935
2017-01-31,India Under-served,117.61598207829265
2017-02-28,India Under-served,120.68037694021366
2017-03-31,India Under-served,125.59464510383198
2017-04-30,India Under-served,130.18317603606732
2017-05-31,India Under-served,125.92518962404168
2017-06-30,India Under-served,124.26787156982384
2017-07-31,India Under-served,125.57096541510568
2017-08-31,India Under-served,124.09040756361641
2017-09-30,India Under-served,121.99072579004412
2017-10-31,India Under-served,127.40810169881489
2017-11-30,India Under-served,127.8803129328833
2017-12-31,India Under-served,134.78053197276523
2018-01-31,India Under-served,136.00909478558538
2018-02-28,India Under-served,131.7989594168276
2018-03-31,India Under-served,128.03560266413186
2018-04-30,India Under-served,140.26825116896762
2018-05-31,India Under-served,133.28289227197902
2018-06-30,India Under-served,130.77726180316162
2018-07-31,India Under-served,129.19176337127658
2018-08-31,India Under-served,137.83383484353848
2018-09-30,India Under-served,124.5059669967242
2018-10-31,India Under-served,129.73140478576408
2018-11-30,India Under-served,128.55656893180054
2018-12-31,India Under-served,126.71877466324146
2019-01-31,India Under-served,122.10082739461416
2019-02-28,India Under-served,117.32097792958837
2019-03-31,India Under-served,126.33756509387256
2019-04-30,India Under-served,124.10587342179556
2019-05-31,India Under-served,125.1184836740472
2019-06-30,India Under-served,118.45713522425481
2019-07-31,India Under-served,107.14142758807353
2019-08-31,India Under-served,106.30540306535308
2019-09-30,India Under-served,118.62523035628512
2019-10-31,India Under-served,114.53417618050302
2019-11-30,India Under-served,113.25137235142105
2019-12-31,India Under-served,114.39490726508386
2020-01-31,India Under-served,120.73978795454319
2020-02-29,India Under-served,111.71518602482875
2020-03-31,India Under-served,77.3410425975181
2020-04-30,India Under-served,90.30189675464675
2020-05-31,India Under-served,87.131531299196
2020-06-30,India Under-served,99.02398886610422
2020-07-31,India Under-served,111.74639882251265
2020-08-31,India Under-served,122.58210433195023
2020-09-30,India Under-served,121.9494301759304
2020-10-31,India Under-served,115.7223526330755
2020-11-30,India Under-served,129.69701587696
2020-12-31,India Under-served,134.9633317783503
2021-01-31,India Under-served,139.9442888270175
2021-02-28,India Under-served,144.7952896181775
2021-03-31,India Under-served,146.75608964805986
2021-04-30,India Under-served,149.99226234667324
2021-05-31,India Under-served,163.73993436447745
2021-06-30,India Under-served,185.45329816258555
2021-07-31,India Under-served,228.01125161600297
2021-08-31,India Under-served,257.8356132966424
2021-09-30,India Under-served,262.44303241937826
2021-10-31,India Under-served,261.82590514544074
2021-11-30,India Under-served,240.02851291555663
2021-12-31,India Under-served,259.3995753765894
2022-01-31,India Under-served,259.1214810631766
2022-02-28,India Under-served,251.31107815124687
2022-03-31,India Under-served,279.89737004184633
2022-04-30,India Under-served,294.4848253062649
2022-05-31,India Under-served,272.9123129351682
2022-06-30,India Under-served,271.21248442601285
2022-07-31,India Under-served,291.73000336388986
2022-08-31,India Under-served,310.60889768730436
2022-09-30,India Under-served,293.890984034623
2022-10-31,India Under-served,298.8016951280873
2022-11-30,India Under-served,318.1207259195357
2022-12-31,India Under-served,305.72586687014575
2023-01-31,India Under-served,294.0648829028011
2023-02-28,India Under-served,290.21979852968985
2023-03-31,India Under-served,288.54051687129027
2023-04-30,India Under-served,306.4354039334651
2023-05-31,India Under-served,302.68087188322585
2023-06-30,India Under-served,329.1899312732732
2023-07-31,India Under-served,350.3905264553653
2023-08-31,India Under-served,366.22513731806436
2023-09-30,India Under-served,379.9061566915431
2023-10-31,India Under-served,371.5802637872696
2023-11-30,India Under-served,389.62623993569116
2023-12-31,India Under-served,390.2995017174052
2024-01-31,India Under-served,404.70499088545375
2024-02-29,India Under-served,391.0598921522147
2016-01-31,Nifty 50,100.0
2016-02-29,Nifty 50,92.37791776047227
2016-03-31,Nifty 50,102.31174513615332
2016-04-30,Nifty 50,103.78459850137769
2016-05-31,Nifty 50,107.88716936140385
2016-06-30,Nifty 50,109.57486898170588
2016-07-31,Nifty 50,114.21224157845963
2016-08-31,Nifty 50,116.1650283206378
2016-09-30,Nifty 50,113.85063889175007
2016-10-31,Nifty 50,114.04300892892346
2016-11-30,Nifty 50,108.73862142627188
2016-12-31,Nifty 50,108.22695692270256
