Date,Group,Portfolio Return
2014-01-31,India Under-served,100.0
2014-02-28,India Under-served,104.06997366127483
2014-03-31,India Under-served,106.45758249687253
2014-04-30,India Under-served,109.37362030687066
2014-05-31,India Under-served,124.50783552520714
2014-06-30,India Under-served,131.91685932041662
2014-07-31,India Under-served,128.5010969004615
2014-08-31,India Under-served,130.50865948947072
2014-09-30,India Under-served,135.80002674546944
2014-10-31,India Under-served,141.3247313107418
2014-11-30,India Under-served,142.02614490023726
2014-12-31,India Under-served,144.83578444965917
2015-01-31,India Under-served,146.04656184847855
2015-02-28,India Under-served,149.56689908568234
2015-03-31,India Under-served,154.47662444701766
2015-04-30,India Under-served,152.0376028716873
2015-05-31,India Under-served,152.18891637285068
2015-06-30,India Under-served,150.76080334412197
2015-07-31,India Under-served,161.62380920536302
2015-08-31,India Under-served,152.73055718355474
2015-09-30,India Under-served,157.96560754196287
2015-10-31,India Under-served,161.955503386534
2015-11-30,India Under-served,172.04005638514968
2015-12-31,India Under-served,177.03956219920826
2016-01-31,India Under-served,167.08598116239375
2016-02-29,India Under-served,152.62105434761628
2016-03-31,India Under-served,169.65511570957898
2016-04-30,India Under-served,172.74949283693792
2016-05-31,India Under-served,178.41952868285654
2016-06-30,India Under-served,188.48553417389857
2016-07-31,India Under-served,194.08174410149135
2016-08-31,India Under-served,199.8399517763794
2016-09-30,India Under-served,200.80314500296424
2016-10-31,India Under-served,207.82504150732268
2016-11-30,India Under-served,194.21887518556593
2016-12-31,India Under-served,192.35337213184368
2017-01-31,India Under-served,196.51981765930043
2017-02-28,India Under-served,201.63999188103116
2017-03-31,India Under-served,209.85104505916397
2017-04-30,India Under-served,217.51783698822933
2017-05-31,India Under-served,210.4033386139349
2017-06-30,India Under-served,207.6341924820635
2017-07-31,India Under-served,209.81147961891944
2017-08-31,India Under-served,207.33767500608172
2017-09-30,India Under-served,203.82940111342052
2017-10-31,India Under-served,212.8810768038453
2017-11-30,India Under-served,213.67007557744756
2017-12-31,India Under-served,225.19937426258858
2018-01-31,India Under-served,227.25213049258545
2018-02-28,India Under-served,220.21758450343157
2018-03-31,India Under-served,213.92954294854866
2018-04-30,India Under-served,234.36858372500038
2018-05-31,India Under-served,222.69702827425243
