Date,Group,Portfolio Return
2021-01-31,India Under-served,99.99999999999999
2021-02-28,India Under-served,103.46637996578498
2021-03-31,India Under-served,104.86750897670595
2021-04-30,India Under-served,107.17998112239925
2021-05-31,India Under-served,117.00365605264057
2021-06-30,India Under-served,132.51937590094934
2021-07-31,India Under-served,162.93001559916704
2021-08-31,India Under-served,184.24161175691003
2021-09-30,India Under-served,187.5339355532966
2021-10-31,India Under-served,187.09295487512094
2021-11-30,India Under-served,171.51719082459402
2021-12-31,India Under-served,185.35917224691343
2022-01-31,India Under-served,185.16045437443452
2022-02-28,India Under-served,179.57937423361935
2022-03-31,India Under-served,200.00628277715728
2022-04-30,India Under-served,210.43004167913708
2022-05-31,India Under-served,195.01497004462254
2022-06-30,India Under-served,193.80032347104463
2022-07-31,India Under-served,208.46152837611817
2022-08-31,India Under-served,221.95182117881365
2022-09-30,India Under-served,210.005700481208
2022-10-31,India Under-served,213.51474764177797
2022-11-30,India Under-served,227.31954879041814
2022-12-31,India Under-served,218.46255351516902
2023-01-31,India Under-served,210.12996340728787
2023-02-28,India Under-served,207.3823812048701
2023-03-31,India Under-served,206.18241679583636
2023-04-30,India Under-served,218.9695674628381
2023-05-31,India Under-served,216.2866912399433
2023-06-30,India Under-served,235.22927161406255
2023-07-31,India Under-served,250.37858235749547
2023-08-31,India Under-served,261.69352132029366
2023-09-30,India Under-served,271.469568265939
2023-10-31,India Under-served,265.52013440618003
2023-11-30,India Under-served,278.4152488118331
2023-12-31,India Under-served,278.8963415290545
2024-01-31,India Under-served,289.19007290515583
2024-02-29,India Under-served,279.43969377385343
2021-01-31,Nifty 50,100.0
2021-02-28,Nifty 50,106.56088187027098
2021-03-31,Nifty 50,107.74573508688025
2021-04-30,Nifty 50,107.30861191241506
2021-05-31,Nifty 50,114.28864800375835
2021-06-30,Nifty 50,115.30591290381177
2021-07-31,Nifty 50,115.61065229255513
2021-08-31,Nifty 50,125.652384344966
2021-09-30,Nifty 50,129.21647865341993
2021-10-31,Nifty 50,129.6088627241198
2021-11-30,Nifty 50,124.5595763659556
2021-12-31,Nifty 50,126.17898581265668
2022-01-31,Nifty 50,124.19394260728599
2022-02-28,Nifty 50,120.28366177140717
2022-03-31,Nifty 50,125.08851918650379
2022-04-30,Nifty 50,125.96758286765305
2022-05-31,Nifty 50,122.15229169926505
2022-06-30,Nifty 50,116.22827880145468
2022-07-31,Nifty 50,126.37783717135592
2022-08-31,Nifty 50,130.80482704058082
2022-09-30,Nifty 50,125.90718638441525
2022-10-31,Nifty 50,132.66754351425217
2022-11-30,Nifty 50,138.1632568437626
2022-12-31,Nifty 50,134.07286699799283
2023-01-31,Nifty 50,130.08927581787728
2023-02-28,Nifty 50,127.45097986874657
2023-03-31,Nifty 50,127.86197071910817
2023-04-30,Nifty 50,133.05643805054626
2023-05-31,Nifty 50,136.5137694709178
2023-06-30,Nifty 50,145.0080015682488
2023-07-31,Nifty 50,149.2757099018477
2023-08-31,Nifty 50,145.49730498156003
2023-09-30,Nifty 50,148.40667679503304
2023-10-31,Nifty 50,144.18090873074365
2023-11-30,Nifty 50,151.8661843058733
2023-12-31,Nifty 50,164.22005702117997
2024-01-31,Nifty 50,164.17698322413005
2024-02-29,Nifty 50,172.92810964188143
2021-01-31,S&P BSE 500,100.0
2021-02-28,S&P BSE 500,107.7677329580122
2021-03-31,S&P BSE 500,109.05118220156211
2021-04-30,S&P BSE 500,109.53835882649886
2021-05-31,S&P BSE 500,117.13591100645195
2021-06-30,S&P BSE 500,119.40522951318579
2021-07-31,S&P BSE 500,121.0218637252233
2021-08-31,S&P BSE 500,128.92478444131066
2021-09-30,S&P BSE 500,133.17129345506308
2021-10-31,S&P BSE 500,133.46364396577255
2021-11-30,S&P BSE 500,132.42837273281955
2021-12-31,S&P BSE 500,132.46731572133987
