Date,Group,Portfolio Return
2018-01-31,India Under-served,100.0
2018-02-28,India Under-served,96.90451923425053
2018-03-31,India Under-served,94.13753018941601
2018-04-30,India Under-served,103.13152321916169
2018-05-31,India Under-served,97.9955733711013
2018-06-30,India Under-served,96.1533212240905
2018-07-31,India Under-served,94.98759150992356
2018-08-31,India Under-served,101.34163091139587
2018-09-30,India Under-served,91.54238339208452
2018-10-31,India Under-served,95.38436013435873
2018-11-30,India Under-served,94.5205680064752
2018-12-31,India Under-served,93.1693390526642
2019-01-31,India Under-served,89.77401664727111
2019-02-28,India Under-served,86.25965646969541
2019-03-31,India Under-served,92.8890566421608
2019-04-30,India Under-served,91.24821661187076
2019-05-31,India Under-served,91.99273318544843
2019-06-30,India Under-served,87.09501038220955
2019-07-31,India Under-served,78.77519349494904
2019-08-31,India Under-served,78.16051068712768
2019-09-30,India Under-served,87.21860147903679
2019-10-31,India Under-served,84.21067455897932
2019-11-30,India Under-served,83.26749952270379
2019-12-31,India Under-served,84.10827779232287
2020-01-31,India Under-served,88.7733192731605
2020-02-29,India Under-served,82.1380262848927
2020-03-31,India Under-served,56.86461094344032
2020-04-30,India Under-served,66.39401350108625
2020-05-31,India Under-served,64.06301831253012
2020-06-30,India Under-served,72.80688767336687
2020-07-31,India Under-served,82.16097533674332
2020-08-31,India Under-served,90.12787308466216
2020-09-30,India Under-served,89.66270260689578
2020-10-31,India Under-served,85.08427529461073
2020-11-30,India Under-served,95.35907586284858
2020-12-31,India Under-served,99.23110803076537
2021-01-31,India Under-served,102.89333154347938
2021-02-28,India Under-served,106.46000537423127
2021-03-31,India Under-served,107.90167369279006
2021-04-30,India Under-served,110.28105332450889
2021-05-31,India Under-served,120.38895974023575
2021-06-30,India Under-served,136.35360080511353
2021-07-31,India Under-served,167.6441211342936
2021-08-31,India Under-served,189.57233242608754
2021-09-30,India Under-served,192.95991406538843
2021-10-31,India Under-served,192.5061743541505
2021-11-30,India Under-served,176.47975180921173
2021-12-31,India Under-served,190.72222764626565
2022-01-31,India Under-served,190.5177602068998
2022-02-28,India Under-served,184.77520091390355
2022-03-31,India Under-served,205.79312764568934
2022-04-30,India Under-served,216.51848045199637
2022-05-31,India Under-served,200.65739968743048
2022-06-30,India Under-served,199.40760936139745
2022-07-31,India Under-served,214.49301153264364
2022-08-31,India Under-served,228.37362323230724
2022-09-30,India Under-served,216.08186165633563
2022-10-31,India Under-served,219.69243718527795
2022-11-30,India Under-served,233.8966570000663
2022-12-31,India Under-served,224.78339948671393
2023-01-31,India Under-served,216.20971992085265
2023-02-28,India Under-served,213.38264105588928
2023-03-31,India Under-served,212.14795769809842
2023-04-30,India Under-served,225.3050830288608
2023-05-31,India Under-served,222.54458230193646
2023-06-30,India Under-served,242.03523432916904
2023-07-31,India Under-served,257.6228648589614
2023-08-31,India Under-served,269.26518251989563
2023-09-30,India Under-served,279.32408291552474
2023-10-31,India Under-served,273.2025122092429
2023-11-30,India Under-served,286.47072502756254
2023-12-31,India Under-served,286.9657373521246
2024-01-31,India Under-served,297.55730050513176
2024-02-29,India Under-served,287.52481057881454
2018-01-31,Nifty 50,100.00000000000001
2018-02-28,Nifty 50,95.149940640339
2018-03-31,Nifty 50,91.7117803406673
2018-04-30,Nifty 50,97.38522086241876
2018-05-31,Nifty 50,97.35620304767808
2018-06-30,Nifty 50,97.15806561999023
2018-07-31,Nifty 50,102.98158275582266
2018-08-31,Nifty 50,105.91963876304622
2018-09-30,Nifty 50,99.11812983901065
2018-10-31,Nifty 50,94.18645778599426
2018-11-30,Nifty 50,98.63117426621618
2018-12-31,Nifty 50,98.50240760404114
2019-01-31,Nifty 50,98.21585646495038
2019-02-28,Nifty 50,97.86718900078793
2019-03-31,Nifty 50,105.40638575094441
2019-04-30,Nifty 50,106.53309393902379
2019-05-31,Nifty 50,108.1168330933458
2019-06-30,Nifty 50,106.90216456328103
2019-07-31,Nifty 50,100.81884709708267
2019-08-31,Nifty 50,99.95964710220399
2019-09-30,Nifty 50,104.05116210623177
2019-10-31,Nifty 50,107.70559593469419
2019-11-30,Nifty 50,109.32515397478055
2019-12-31,Nifty 50,110.34440545259082
2020-01-31,Nifty 50,108.47320842034301
2020-02-29,Nifty 50,101.57829829750312
2020-03-31,Nifty 50,77.96503352714521
2020-04-30,Nifty 50,89.41030315090168
2020-05-31,Nifty 50,86.87486964768387
2020-06-30,Nifty 50,93.42020551455018
2020-07-31,Nifty 50,100.4148644318483
2020-08-31,Nifty 50,103.26269303809453
2020-09-30,Nifty 50,101.99271486944774
2020-10-31,Nifty 50,105.57186797226085
2020-11-30,Nifty 50,117.60288235429257
2020-12-31,Nifty 50,126.78698742424754
2021-01-31,Nifty 50,123.63901936362397
2021-02-28,Nifty 50,131.7508293696328
2021-03-31,Nifty 50,133.21577026754687
2021-04-30,Nifty 50,132.67531546122697
2021-05-31,Nifty 50,141.30536363579085
2021-06-30,Nifty 50,142.56309998254724
2021-07-31,Nifty 50,142.93987677440424
2021-08-31,Nifty 50,155.35537581112774
2021-09-30,Nifty 50,159.76198706329492
2021-10-31,Nifty 50,160.2471268804473
2021-11-30,Nifty 50,154.00423874235184
2021-12-31,Nifty 50,156.00646070173494
2022-01-31,Nifty 50,153.5521727486704
2022-02-28,Nifty 50,148.7175398688261
2022-03-31,Nifty 50,154.6582184586719
2022-04-30,Nifty 50,155.74508417362665
2022-05-31,Nifty 50,151.02789558716475
2022-06-30,Nifty 50,143.70350413333742
2022-07-31,Nifty 50,156.25231857162194
2022-08-31,Nifty 50,161.72580543325859
2022-09-30,Nifty 50,155.67041055402132
2022-10-31,Nifty 50,164.02884981483052
2022-11-30,Nifty 50,170.8236958824732
2022-12-31,Nifty 50,165.76637798901416
2023-01-31,Nifty 50,160.84110491846351
2023-02-28,Nifty 50,157.57914167904806
2023-03-31,Nifty 50,158.08728673610938
2023-04-30,Nifty 50,164.50967520586326
2023-05-31,Nifty 50,168.78428587016106
2023-06-30,Nifty 50,179.28647113777131
2023-07-31,Nifty 50,184.56302387073265
2023-08-31,Nifty 50,179.89144107970208
2023-09-30,Nifty 50,183.48855985952176
2023-10-31,Nifty 50,178.26386166425317
2023-11-30,Nifty 50,187.7658610207356
2023-12-31,Nifty 50,203.04006809937107
2024-01-31,Nifty 50,202.98681207909587
2024-02-29,Nifty 50,213.8066189652747
2018-01-31,S&P BSE 500,100.0
2018-02-28,S&P BSE 500,95.59190717649524
2018-03-31,S&P BSE 500,92.04098521187397
2018-04-30,S&P BSE 500,98.0499771992427
2018-05-31,S&P BSE 500,96.21222384789883
2018-06-30,S&P BSE 500,94.66697072162385
2018-07-31,S&P BSE 500,99.79025216879548
2018-08-31,S&P BSE 500,103.2527529788105
2018-09-30,S&P BSE 500,94.12842897161579
2018-10-31,S&P BSE 500,90.45227078433794
2018-11-30,S&P BSE 500,94.01837493327261
2018-12-31,S&P BSE 500,94.74418451413752
2019-01-31,S&P BSE 500,91.76386260667213
2019-02-28,S&P BSE 500,92.50537564793265
2019-03-31,S&P BSE 500,99.72352902673849
2019-04-30,S&P BSE 500,99.9478725391284
2019-05-31,S&P BSE 500,101.11357267842119
