Start date,End date,Maximum (%),Days
2/7/2007,5/22/2007,-16.05,104
7/24/2007,9/19/2007,-11.97,57
1/7/2008,3/28/2014,-63.85,2272
3/3/2015,9/6/2016,-22.57,553
9/8/2016,2/21/2017,-12.05,166
1/23/2018,7/30/2018,-10.21,188
8/28/2018,5/27/2019,-14.7,272
6/3/2019,11/28/2019,-11.28,178
1/17/2020,11/9/2020,-38.32,297
10/18/2021,11/25/2022,-17.22,403
