Industry Sectors,Value P
Financials,16.91
Materials,15.44
Consumer Discretionary,14.67
Other,13.16
Industrials,10.89
Utilities,10.64
Consumer Staples,5.09
Energy,4.83
Information Technology,4.34
Health Care,4.03
